model,signal,organism,results.train.accuracy,results.val.accuracy,results.test.accuracy,results.train.precision.neg,results.train.precision.pos,results.train.recall.neg,results.train.recall.pos,results.val.precision.neg,results.val.precision.pos,results.val.recall.neg,results.val.recall.pos,results.test.precision.neg,results.test.precision.pos,results.test.recall.neg,results.test.recall.pos
T,PAS,bt,0.8537587885343428,0.8407043407043407,0.8225846925972397,0.84984026,0.8578022,0.86047013,0.84700521,0.85148515,0.8300813,0.83158743,0.8501249,0.81131156,0.83453981,0.83870968,0.8065967
Tall,PAS,bt,0.8466197944835046,0.8333333333333334,0.8155583437892095,0.80733244,0.89795409,0.91179642,0.78103299,0.80217391,0.87382298,0.89202256,0.77268943,0.77547419,0.86845169,0.88608871,0.74562719
T,TIS,bt,0.940352224195019,0.9163783160322952,0.9114056505057552,0.9418085,0.93886844,0.9401101,0.94059983,0.92236256,0.90996016,0.91657438,0.91616526,0.91512743,0.90772433,0.90748899,0.91534515
Tall,TIS,bt,0.9301310043668122,0.928489042675894,0.9286129519823276,0.92130661,0.93958064,0.94229309,0.91769388,0.92290988,0.93480935,0.94130676,0.91456077,0.91664789,0.94137434,0.94342685,0.91371269
T,PAS,dm,0.8721844833750447,0.8209306536302734,0.8214856655653842,0.88653205,0.85880829,0.85409602,0.89033124,0.82326284,0.81878261,0.80710848,0.83416017,0.83741452,0.80659794,0.80185889,0.84147128
Tall,PAS,dm,0.8587772613514479,0.8229223248234655,0.8248960886710007,0.83291956,0.88913719,0.89817955,0.81924799,0.78479339,0.86909528,0.87893373,0.76931254,0.80573689,0.84727357,0.86037178,0.78877178
T,TIS,dm,0.9283722984349554,0.9083022183175928,0.909861375730898,0.91029583,0.94800484,0.95003597,0.90680767,0.89787324,0.9196695,0.92414391,0.89203028,0.8920383,0.92928738,0.93220116,0.88760656
Tall,TIS,dm,0.9078086615694608,0.8945750054908851,0.8986925957558636,0.89989686,0.91599281,0.91722459,0.89843578,0.89038462,0.89900587,0.90312094,0.88579697,0.89240342,0.90515519,0.90626646,0.89114754
CNN,PAS,hs,0.9419852941176472,0.8073148974130241,0.7953900709219858,0.92236676,0.96372655,0.96572935,0.91804489,0.78065242,0.83722397,0.84325638,0.77285964,0.78488768,0.80680977,0.81541726,0.77524893
T,PAS,hs,0.8658088235294118,0.8322925958965209,0.8294326241134752,0.89165492,0.8429225,0.83406561,0.89781453,0.84768638,0.81903708,0.80133657,0.86196855,0.85556402,0.80669761,0.79384724,0.86522048
Tall,PAS,hs,0.8521982472936152,0.830518697225573,0.8353188507358094,0.81643799,0.89640975,0.90692513,0.79797684,0.7859064,0.88743995,0.89907692,0.76463631,0.80324854,0.87811861,0.89791024,0.76980997
base,PAS,hs,0.7664040061860226,0.7533172496984318,0.76541695865452,0.7247994,0.82562913,0.8554306,0.67819968,0.70681702,0.81978022,0.84861538,0.66173862,0.72898551,0.8210806,0.86159644,0.66475439
CNN,TIS,hs,0.9419852941176472,0.8073148974130241,0.7953900709219858,0.92236676,0.96372655,0.96572935,0.91804489,0.78065242,0.83722397,0.84325638,0.77285964,0.78488768,0.80680977,0.81541726,0.77524893
T,TIS,hs,0.9469435852113712,0.9253783878915874,0.9255349500713268,0.94423358,0.94970273,0.95028209,0.94358793,0.92147806,0.92940615,0.93093794,0.91975454,0.92092492,0.93013972,0.92941515,0.9217293
Tall,TIS,hs,0.9281190160553836,0.923735773788572,0.9223252496433666,0.91100835,0.94683279,0.9493418,0.90678717,0.90292553,0.94714535,0.95053663,0.89662497,0.8991952,0.94767529,0.94958225,0.89559198
base,TIS,hs,0.8218883487995287,0.8196644374046698,0.8189728958630528,0.75958353,0.92461959,0.9432299,0.69992321,0.75629312,0.92721519,0.94633691,0.69152702,0.7523493,0.92878731,0.94569288,0.69468776
T,PAS,mm,0.8381824844265299,0.8149869300029045,0.8202247191011236,0.83896296,0.83741842,0.83475825,0.84156828,0.81253627,0.81744186,0.8168028,0.81318681,0.83138505,0.80925861,0.81070812,0.83006069
Tall,PAS,mm,0.8334188347379993,0.805111821086262,0.8125,0.78787492,0.89483649,0.90993514,0.75776126,0.75906607,0.86993007,0.89148191,0.71949104,0.77606528,0.86300796,0.88704663,0.73545162
T,TIS,mm,0.9477597145122918,0.9260382333553066,0.9273769708552316,0.94395648,0.9516258,0.95200635,0.94351589,0.92315762,0.92895016,0.92925026,0.92283382,0.92736809,0.92738589,0.92766296,0.92708998
Tall,TIS,mm,0.9300489029870472,0.9256427158866184,0.931438127090301,0.90646088,0.95652174,0.95901368,0.90110326,0.90019861,0.954456,0.95723337,0.89412694,0.91010727,0.95521132,0.95771065,0.90507339
